catalog,page,section,table,row,column,column_label,column_group,value
agricultural,12,Vent Damper Operator Parts,1,5,price,PRICE,,✓
agricultural,12,Perma-Clad® Light Transmitting Panel,2,0,part,PART #,DESCRIPTION,HW-1564
agricultural,12,Perma-Clad® Light Transmitting Panel,2,0,length,LENGTH,DESCRIPTION,"12'-0"""
agricultural,12,Perma-Clad® Light Transmitting Panel,2,0,color,COLOR,DESCRIPTION,White
agricultural,12,Perma-Clad® Light Transmitting Panel,2,0,type,TYPE,DESCRIPTION,1
agricultural,12,Perma-Clad® Light Transmitting Panel,2,0,weight_sq_ft,WEIGHT / SQ FT,DESCRIPTION,5 ounce
agricultural,12,Perma-Clad® Light Transmitting Panel,2,0,weight_each,WEIGHT EACH,DESCRIPTION,11.30#
agricultural,12,Perma-Clad® Light Transmitting Panel,2,0,price,PRICE,,✓
agricultural,13,MasterRib® Light Transmitting Panel,0,0,part,PART #,DESCRIPTION,HW-1566A
agricultural,13,MasterRib® Light Transmitting Panel,0,0,length,LENGTH,DESCRIPTION,"10'-0"""
agricultural,13,MasterRib® Light Transmitting Panel,0,0,color,COLOR,DESCRIPTION,White
agricultural,13,MasterRib® Light Transmitting Panel,0,0,type,TYPE,DESCRIPTION,1
agricultural,13,MasterRib® Light Transmitting Panel,0,0,weight_sq_ft,WEIGHT / SQ FT,DESCRIPTION,5 ounce
agricultural,13,MasterRib® Light Transmitting Panel,0,0,weight_each,WEIGHT EACH,DESCRIPTION,12.81#
agricultural,13,MasterRib® Light Transmitting Panel,0,0,price,PRICE,,✓
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,0,part,PART #,DESCRIPTION,HW-1568
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,0,length,LENGTH,DESCRIPTION,"31.0"""
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,0,color,COLOR,DESCRIPTION,White
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,0,type,TYPE,DESCRIPTION,1
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,0,weight_sq_ft,WEIGHT / SQ FT,DESCRIPTION,5 ounce
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,0,weight_each,WEIGHT EACH,DESCRIPTION,8.70#
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,0,price,PRICE,,✓
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,1,part,PART #,DESCRIPTION,HW-1570
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,1,length,LENGTH,DESCRIPTION,"10'-0"""
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,1,color,COLOR,DESCRIPTION,White
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,1,type,TYPE,DESCRIPTION,1
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,1,weight_sq_ft,WEIGHT / SQ FT,DESCRIPTION,5 ounce
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,1,weight_each,WEIGHT EACH,DESCRIPTION,10.85#
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,1,price,PRICE,,✓
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,2,part,PART #,DESCRIPTION,HW-1572
agricultural,13,"2%"" Corrugated Light Transmitting Panel",1,2,length,LENGTH,DESCRIPTION,"12!-0"""
